phase,ap_mag,freq,fr_sep,amp,pow_ex,temp,grav,metal,rad,mass
RGB,9.2,29.99,3.399,104.9,12.3,4751,2.383,-0.08,41.14,4.97
HeB,13.23,29.48,3.962,149.7,12.0,5188,2.394,-0.21,31.77,3.04
RGB,12.58,41.39,4.311,86.1,15.3,4728,2.522,-0.15,35.11,4.9799999999999995
HeB,12.14,41.17,4.414,63.8,24.8,5072,2.534,-0.12,35.07,5.13
HeB,11.74,36.91,3.991,116.1,14.0,4718,2.471,-0.02,36.6,4.82
RGB,13.26,94.86,8.83,59.1,29.6,5123,2.899,-0.41,20.32,3.9800000000000004
HeB,12.94,34.5,3.967,83.3,13.6,5089,2.458,-0.11,36.5,4.66
RGB,12.11,74.21,6.937,66.8,23.8,4671,2.772,0.29,24.31,4.25
RGB,13.88,157.75,12.633,46.6,42.7,5039,3.116,-0.1,16.36,4.25
RGB,13.28,103.13,9.468,54.8,30.8,5242,2.94,-0.17,19.580000000000002,4.0600000000000005
HeB,14.91,26.38,3.361,121.1,20.9,4128,2.296,-0.09,33.79,2.75
HeB,9.7,24.72,3.509,149.0,11.1,4724,2.297,-0.27,31.56,2.4
HeB,12.61,36.18,4.125,100.3,15.5,4793,2.466,0.07,34.03,4.12
HeB,10.22,34.32,4.108,121.7,14.4,4747,2.441,0.08,32.33,3.5
RGB,11.22,11.0,1.668,311.6,4.9,4218,1.921,0.01,58.150000000000006,3.4299999999999997
HeB,11.45,27.38,3.703,140.5,12.3,4989,2.354,-0.56,32.67,2.9299999999999997
RGB,12.72,14.24,1.898,212.6,5.9,4311,2.038,0.26,59.25,4.67
RGB,12.03,21.43,2.642,132.1,8.0,4560,2.228,-0.37,47.14,4.57
HeB,11.98,40.33,4.415,87.4,15.5,5034,2.524,-0.16,34.16,4.74
HeB,11.79,51.32,5.013,55.8,20.8,4909,2.623,0.06,33.25,5.640000000000001
RGB,13.93,57.93,5.959,84.5,11.8,5066,2.683,-0.13,27.09,4.3
RGB,14.3,28.58,3.361,189.9,10.0,4266,2.338,0.1,37.510000000000005,3.7300000000000004
RGB,15.23,88.14,8.079,72.9,26.6,4213,2.825,-0.29,19.81,3.1899999999999995
RGB,11.94,75.62,7.022,50.2,21.8,4795,2.786,0.03,24.520000000000003,4.47
RGB,10.65,106.81,9.09,37.0,30.6,4824,2.938,0.11,20.790000000000003,4.550000000000001
RGB,13.94,49.15,5.377,97.5,15.4,4649,2.593,-0.37,26.259999999999998,3.2800000000000002
HeB,13.78,36.27,4.231,100.6,14.8,5191,2.484,-0.11,34.24,4.35
HeB,13.85,27.19,3.903,151.3,13.9,4942,2.349,0.12,29.6,2.38
HeB,12.45,40.05,4.282,91.4,17.6,4897,2.515,-0.08,35.4,4.9799999999999995
RGB,12.82,59.56,6.14,86.0,19.1,4609,2.674,0.07,24.56,3.4699999999999998
HeB,13.28,41.82,4.52,61.0,14.3,5250,2.549,-0.13,34.86,5.22
RGB,12.84,126.62,10.333,21.7,39.9,4934,3.016,0.04,19.34,4.73
HeB,13.81,31.79,4.24,115.7,15.3,4825,2.411,-0.35,28.25,2.51
RGB,11.96,55.78,5.755,88.6,17.3,4685,2.649,-0.03,26.43,3.79
RGB,15.19,63.33,6.263,88.7,15.7,4261,2.684,-0.46,23.849999999999998,3.34
RGB,13.52,160.91,13.32,47.5,41.4,5070,3.126,-0.14,15.09,3.7
HeB,12.79,32.65,3.912,118.8,13.7,4968,2.429,-0.01,35.0,4.0
RGB,13.05,120.79,10.448,42.1,37.4,4964,2.997,-0.33,18.06,3.9400000000000004
RGB,13.12,171.02,13.67,45.0,44.8,4829,3.142,0.15,14.75,3.6799999999999997
HeB,13.15,37.4,4.316,114.1,14.9,5092,2.494,-0.1,33.49,4.25
RGB,11.55,5.38,1.07,453.1,2.6,4443,1.622,-0.23,70.67,2.54
RGB,13.92,177.11,13.669,34.5,71.8,5293,3.177,-0.07,16.240000000000002,4.82
RGB,13.62,38.74,4.361,117.3,15.3,4689,2.491,0.37,32.19,3.91
RGB,11.52,69.14,6.241,36.5,21.2,4956,2.755,0.11,29.1,5.85
RGB,10.89,40.37,4.085,65.8,15.6,4767,2.513,-0.06,38.480000000000004,5.859999999999999
RGB,10.19,150.14,12.178,44.5,41.3,4760,3.083,0.28,16.16,3.85
HeB,12.55,24.41,3.667,144.8,12.2,5072,2.307,-0.13,30.55,2.3
HeB,11.41,25.71,3.641,160.0,10.9,4821,2.319,0.1,31.580000000000002,2.52
